player in MLB,G_MLB,PA_MLB,AB_MLB,R_MLB,H_MLB,2B_MLB,3B_MLB,HR_MLB,RBI_MLB,SB_MLB,CS_MLB,BB_MLB,SO_MLB,BA_MLB,OBP_MLB,SLG_MLB,OPS_MLB,TB_MLB,GDP_MLB,HBP_MLB,SH_MLB,SF_MLB,IBB_MLB,HitperABMLB,TwoBaseHitABMLB,ThreeBaseHitABMLB,HRperABMLB,StolenBasePercentageMLB,BaseOnBallPercentageMLB,StrikeoutPercentageMLB
Leonys Martin,611,2238,1916,241,466,92,2,79,259,4,10,255,399,0.243,0.336,0.41700000000000004,0.753,799,42,25,17,25,6.0,0.24321503131524008,0.04801670146137787,0.0010438413361169101,0.04123173277661795,0.0010520778537611783,0.13308977035490605,0.2082463465553236
Kenny Vargas,236,859,783,104,197,38,1,35,116,0,0,65,251,0.252,0.311,0.43700000000000006,0.748,342,24,5,0,6,4.0,0.2515964240102171,0.04853128991060025,0.001277139208173691,0.04469987228607918,0.0,0.08301404853128991,0.3205619412515964
Jabari Blash,123,324,274,35,51,9,0,8,22,4,3,44,124,0.18600000000000003,0.306,0.307,0.612,84,8,4,0,2,0.0,0.18613138686131386,0.032846715328467155,0.0,0.029197080291970802,0.0010520778537611783,0.16058394160583941,0.45255474452554745
Adam Jones,1823,7515,7009,963,1939,336,29,282,945,97,35,340,1395,0.27699999999999997,0.317,0.45399999999999996,0.7709999999999999,3179,190,103,8,55,20.0,0.2766443144528463,0.047938364959337995,0.004137537451847625,0.04023398487658725,0.025512887953708575,0.04850905978028249,0.19902981880439435
Cory Spangenberg,419,1379,1250,154,320,49,15,29,119,34,10,99,374,0.256,0.315,0.389,0.7040000000000001,486,14,10,16,4,3.0,0.256,0.0392,0.012,0.0232,0.008942661756970016,0.0792,0.2992
Leo Gomez,611,2238,1916,241,466,92,2,79,259,4,10,255,399,0.243,0.336,0.41700000000000004,0.753,799,42,25,17,25,6.0,0.24321503131524008,0.04801670146137787,0.0010438413361169101,0.04123173277661795,0.0010520778537611783,0.13308977035490605,0.2082463465553236
Dave Nilsson,837,3153,2779,389,789,157,10,105,470,15,18,320,424,0.284,0.35600000000000004,0.461,0.8170000000000001,1281,57,10,12,32,40.0,0.283915077365959,0.05649514213745952,0.0035984166966534724,0.037783375314861464,0.003945291951604419,0.11514933429291112,0.15257286793810723
Howard Battle,29,43,37,5,9,0,0,1,5,1,0,6,13,0.243,0.349,0.324,0.6729999999999999,12,1,0,0,0,0.0,0.24324324324324326,0.0,0.0,0.02702702702702703,0.0002630194634402946,0.16216216216216217,0.35135135135135137
Micah Franklin,17,37,34,6,11,0,0,2,2,0,0,3,10,0.324,0.37799999999999995,0.5,0.878,17,0,0,0,0,0.0,0.3235294117647059,0.0,0.0,0.058823529411764705,0.0,0.08823529411764706,0.29411764705882354
Jason Hardtke,67,145,134,14,31,7,0,2,16,1,1,8,24,0.231,0.28300000000000003,0.32799999999999996,0.611,44,4,2,0,1,1.0,0.23134328358208955,0.05223880597014925,0.0,0.014925373134328358,0.0002630194634402946,0.05970149253731343,0.1791044776119403
Tony Tarasco,457,1129,1006,151,241,46,5,34,118,39,10,106,171,0.24,0.313,0.397,0.7090000000000001,399,15,4,6,7,,0.23956262425447317,0.04572564612326044,0.004970178926441352,0.033797216699801194,0.010257759074171488,0.10536779324055666,0.16998011928429424
Eddy Diaz,16,51,50,4,11,2,1,0,7,0,0,1,5,0.22,0.235,0.3,0.535,15,3,0,0,0,0.0,0.22,0.04,0.02,0.0,0.0,0.02,0.1
Luis Lopez,52,155,145,10,33,4,0,3,10,0,0,8,25,0.228,0.273,0.317,0.59,46,11,1,1,0,1.0,0.22758620689655173,0.027586206896551724,0.0,0.020689655172413793,0.0,0.05517241379310345,0.1724137931034483
Torey Lovullo,303,837,737,80,165,35,1,15,60,9,8,80,121,0.22399999999999998,0.301,0.335,0.636,247,16,3,12,5,3.0,0.22388059701492538,0.04748982360922659,0.0013568521031207597,0.0203527815468114,0.002367175170962651,0.10854816824966079,0.16417910447761194
Lou Merloni,423,1223,1085,138,294,67,7,14,125,9,8,88,213,0.271,0.332,0.384,0.716,417,38,17,20,13,5.0,0.2709677419354839,0.06175115207373272,0.0064516129032258064,0.012903225806451613,0.002367175170962651,0.08110599078341015,0.19631336405529953
Bobby Rose,73,223,200,24,49,11,3,5,23,1,1,15,33,0.245,0.305,0.405,0.71,81,5,3,3,2,1.0,0.245,0.055,0.015,0.025,0.0002630194634402946,0.075,0.165
Domingo Martinez,15,23,22,4,9,0,0,2,6,0,0,1,8,0.409,0.435,0.682,1.117,15,0,0,0,0,0.0,0.4090909090909091,0.0,0.0,0.09090909090909091,0.0,0.045454545454545456,0.36363636363636365
Ozzie Timmons,186,441,405,62,95,20,1,20,60,4,1,33,82,0.235,0.293,0.43700000000000006,0.73,177,11,1,1,1,2.0,0.2345679012345679,0.04938271604938271,0.0024691358024691358,0.04938271604938271,0.0010520778537611783,0.08148148148148149,0.20246913580246914
Ivan Cruz,41,58,55,5,15,1,0,2,8,0,0,3,17,0.273,0.31,0.4,0.71,22,1,0,0,0,0.0,0.2727272727272727,0.01818181818181818,0.0,0.03636363636363636,0.0,0.05454545454545454,0.3090909090909091
Tom Evans,42,119,102,17,26,6,0,1,7,0,4,13,25,0.255,0.34700000000000003,0.34299999999999997,0.691,35,2,2,1,1,0.0,0.2549019607843137,0.058823529411764705,0.0,0.00980392156862745,0.0,0.12745098039215685,0.24509803921568626
Eduardo Perez,754,2039,1800,238,445,88,3,79,294,19,13,194,393,0.247,0.326,0.431,0.757,776,53,24,6,15,8.0,0.24722222222222223,0.04888888888888889,0.0016666666666666668,0.04388888888888889,0.004997369805365597,0.10777777777777778,0.21833333333333332
Alex Ramirez ,135,350,332,38,86,17,3,12,48,3,1,15,78,0.259,0.293,0.43700000000000006,0.73,145,10,1,2,0,2.0,0.25903614457831325,0.05120481927710843,0.009036144578313253,0.03614457831325301,0.0007890583903208837,0.045180722891566265,0.23493975903614459
David Doster,138,225,202,23,47,10,0,4,18,1,0,19,44,0.233,0.297,0.342,0.639,69,3,0,3,1,1.0,0.23267326732673269,0.04950495049504951,0.0,0.019801980198019802,0.0002630194634402946,0.09405940594059406,0.21782178217821782
Jon Zuber,68,151,136,13,34,7,1,3,16,1,0,12,20,0.25,0.313,0.382,0.696,52,4,1,1,1,1.0,0.25,0.051470588235294115,0.007352941176470588,0.022058823529411766,0.0002630194634402946,0.08823529411764706,0.14705882352941177
Scott Bullett,247,405,374,49,87,10,9,6,42,19,9,25,102,0.233,0.28300000000000003,0.35600000000000004,0.638,133,7,2,2,2,2.0,0.232620320855615,0.026737967914438502,0.02406417112299465,0.016042780748663103,0.004997369805365597,0.06684491978609626,0.2727272727272727
George Arias,173,513,480,46,114,18,2,14,55,2,0,25,121,0.23800000000000002,0.278,0.371,0.649,178,14,2,6,0,2.0,0.2375,0.0375,0.004166666666666667,0.029166666666666667,0.0005260389268805891,0.052083333333333336,0.2520833333333333
Derrick White,76,119,116,10,21,5,0,3,8,3,0,2,28,0.18100000000000002,0.20199999999999999,0.302,0.503,35,2,1,0,0,1.0,0.1810344827586207,0.04310344827586207,0.0,0.02586206896551724,0.0007890583903208837,0.017241379310344827,0.2413793103448276
Mike Gulan,11,18,15,3,0,0,0,0,1,0,0,3,7,0.0,0.16699999999999998,0.0,0.16699999999999998,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4666666666666667
Ernie Young,288,908,796,108,179,33,4,27,90,10,11,90,213,0.225,0.31,0.37799999999999995,0.688,301,25,11,5,6,,0.22487437185929648,0.0414572864321608,0.005025125628140704,0.03391959798994975,0.0026301946344029457,0.11306532663316583,0.2675879396984925
Alex Ochoa,807,2387,2143,320,597,131,19,46,261,56,38,203,288,0.27899999999999997,0.344,0.42200000000000004,0.7659999999999999,904,45,19,7,15,7.0,0.27858142790480633,0.06112925804946337,0.008866075594960336,0.021465235650956604,0.014729089952656496,0.09472701819878675,0.1343910405972935
Jimmy Hurst,13,19,17,1,3,1,0,1,1,0,0,2,6,0.17600000000000002,0.263,0.41200000000000003,0.675,7,0,0,0,0,0.0,0.17647058823529413,0.058823529411764705,0.0,0.058823529411764705,0.0,0.11764705882352941,0.35294117647058826
Andy Sheets,356,1073,960,118,207,38,3,19,113,16,7,76,275,0.21600000000000003,0.271,0.321,0.5920000000000001,308,15,2,23,12,3.0,0.215625,0.03958333333333333,0.003125,0.019791666666666666,0.004208311415044713,0.07916666666666666,0.2864583333333333
Chris Latham,110,240,213,34,43,5,1,3,19,9,3,23,85,0.20199999999999999,0.28,0.27699999999999997,0.557,59,1,1,1,2,1.0,0.20187793427230047,0.023474178403755867,0.004694835680751174,0.014084507042253521,0.002367175170962651,0.107981220657277,0.39906103286384975
Mike Kinkade,222,491,429,56,110,20,1,13,48,5,4,34,89,0.256,0.35,0.39899999999999997,0.7490000000000001,171,19,28,0,0,2.0,0.2564102564102564,0.046620046620046623,0.002331002331002331,0.030303030303030304,0.0013150973172014729,0.07925407925407925,0.20745920745920746
Greg LaRocca,39,100,88,16,23,6,1,0,6,1,0,8,11,0.261,0.337,0.35200000000000004,0.6890000000000001,31,2,2,2,0,0.0,0.26136363636363635,0.06818181818181818,0.011363636363636364,0.0,0.0002630194634402946,0.09090909090909091,0.125
Tuffy Rhodes,225,675,590,74,132,29,3,13,44,14,7,74,121,0.22399999999999998,0.31,0.349,0.659,206,7,2,4,5,7.0,0.22372881355932203,0.04915254237288136,0.005084745762711864,0.022033898305084745,0.003682272488164124,0.12542372881355932,0.20508474576271185
Shane Spencer,538,1867,1671,208,438,84,8,59,242,13,11,152,357,0.262,0.326,0.428,0.754,715,23,17,4,23,4.0,0.2621184919210054,0.05026929982046679,0.0047875523638539795,0.0353081986834231,0.0034192530247238295,0.09096349491322561,0.21364452423698385
Adam Riggs,61,171,153,18,33,9,1,3,10,6,2,16,30,0.21600000000000003,0.29,0.34600000000000003,0.636,53,5,0,2,0,1.0,0.21568627450980393,0.058823529411764705,0.006535947712418301,0.0196078431372549,0.0015781167806417674,0.10457516339869281,0.19607843137254902
Kevin Witt,146,424,399,38,93,12,0,15,41,1,1,19,108,0.233,0.267,0.376,0.643,150,6,1,1,4,0.0,0.23308270676691728,0.03007518796992481,0.0,0.03759398496240601,0.0002630194634402946,0.047619047619047616,0.2706766917293233
Gabe Kapler,1104,3314,2983,443,799,176,16,82,386,77,30,269,480,0.268,0.32899999999999996,0.42,0.7490000000000001,1253,68,17,20,25,6.0,0.26785115655380487,0.05900100569896078,0.0053637277908146165,0.027489104927924907,0.020252498684902684,0.09017767348307074,0.16091183372443849
Joe Dillon,137,246,217,35,57,12,2,3,19,1,0,22,47,0.263,0.344,0.37799999999999995,0.722,82,7,5,2,0,0.0,0.2626728110599078,0.055299539170506916,0.009216589861751152,0.013824884792626729,0.0002630194634402946,0.10138248847926268,0.21658986175115208
Aaron Guiel,307,1099,970,151,239,58,0,35,128,8,12,83,218,0.24600000000000002,0.322,0.414,0.736,402,15,30,5,11,2.0,0.2463917525773196,0.05979381443298969,0.0,0.03608247422680412,0.0021041557075223566,0.08556701030927835,0.22474226804123712
Luis Gonzalez,291,950,875,100,248,51,3,23,98,5,10,39,157,0.28300000000000003,0.321,0.42700000000000005,0.7490000000000001,374,15,12,19,5,1.0,0.2834285714285714,0.05828571428571429,0.0034285714285714284,0.026285714285714287,0.0013150973172014729,0.044571428571428574,0.17942857142857144
Damon Hollins,256,762,712,85,172,39,1,28,86,11,5,42,134,0.242,0.284,0.41700000000000004,0.701,297,12,1,4,3,1.0,0.24157303370786518,0.054775280898876406,0.0014044943820224719,0.03932584269662921,0.0028932140978432403,0.05898876404494382,0.18820224719101122
Lew Ford,519,1795,1585,235,425,83,10,35,176,48,10,154,249,0.268,0.345,0.39899999999999997,0.7440000000000001,633,37,37,7,12,5.0,0.26813880126182965,0.05236593059936909,0.006309148264984227,0.022082018927444796,0.01262493424513414,0.0971608832807571,0.15709779179810726
Scott Seabol,60,115,106,11,23,5,0,1,10,0,0,8,23,0.217,0.27,0.292,0.562,31,1,0,0,1,0.0,0.2169811320754717,0.04716981132075472,0.0,0.009433962264150943,0.0,0.07547169811320754,0.2169811320754717
Larry Bigbie,392,1367,1227,164,328,56,4,31,137,25,8,119,302,0.267,0.331,0.395,0.726,485,15,2,10,9,5.0,0.267318663406683,0.045639771801140996,0.0032599837000814994,0.02526487367563162,0.006575486586007364,0.09698451507742462,0.24612876935615322
Kevin Mench,729,2597,2362,311,632,150,14,89,331,12,6,183,335,0.268,0.324,0.456,0.78,1077,32,27,2,23,15.0,0.26756985605419137,0.06350550381033022,0.0059271803556308214,0.03767993226079593,0.003156233561283535,0.07747671464860288,0.1418289585097375
Jamie D'Antona,18,19,17,2,3,0,0,0,1,0,0,2,4,0.17600000000000002,0.263,0.17600000000000002,0.44,3,0,0,0,0,0.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.11764705882352941,0.23529411764705882
Dan Johnson,443,1625,1382,179,324,61,2,57,203,1,1,214,244,0.23399999999999999,0.335,0.405,0.741,560,35,7,0,22,8.0,0.23444283646888567,0.04413892908827786,0.001447178002894356,0.04124457308248915,0.0002630194634402946,0.1548480463096961,0.17655571635311143
Edgardo Alfonzo,1506,6108,5385,777,1532,282,18,146,744,53,17,596,617,0.284,0.35700000000000004,0.425,0.782,2288,110,41,31,55,22.0,0.28449396471680594,0.05236768802228412,0.003342618384401114,0.02711234911792015,0.013940031562335612,0.11067780872794801,0.11457753017641598
Matt Murton,346,1058,952,134,272,46,5,29,112,10,3,93,149,0.28600000000000003,0.35200000000000004,0.436,0.7879999999999999,415,27,6,3,4,5.0,0.2857142857142857,0.04831932773109244,0.005252100840336135,0.03046218487394958,0.0026301946344029457,0.0976890756302521,0.1565126050420168
Jeff Fiorentino,58,173,148,23,40,5,0,1,21,4,0,17,29,0.27,0.341,0.324,0.6659999999999999,48,2,1,3,4,0.0,0.2702702702702703,0.033783783783783786,0.0,0.006756756756756757,0.0010520778537611783,0.11486486486486487,0.19594594594594594
Justin Huber,72,175,161,14,36,7,0,2,15,1,0,9,45,0.22399999999999998,0.276,0.304,0.58,49,2,3,1,1,0.0,0.2236024844720497,0.043478260869565216,0.0,0.012422360248447204,0.0002630194634402946,0.055900621118012424,0.2795031055900621
Edgar Gonzalez,193,522,478,54,122,23,2,11,51,2,5,36,112,0.255,0.312,0.381,0.693,182,16,5,0,3,1.0,0.25523012552301255,0.04811715481171548,0.0041841004184100415,0.02301255230125523,0.0005260389268805891,0.07531380753138076,0.23430962343096234
Joel Guzman,24,62,56,7,13,1,2,0,7,0,0,5,12,0.23199999999999998,0.306,0.321,0.628,18,4,1,0,0,0.0,0.23214285714285715,0.017857142857142856,0.03571428571428571,0.0,0.0,0.08928571428571429,0.21428571428571427
Brian Barden,119,193,175,21,37,4,0,4,14,0,2,11,44,0.21100000000000002,0.268,0.303,0.5710000000000001,53,5,3,3,1,0.0,0.21142857142857144,0.022857142857142857,0.0,0.022857142857142857,0.0,0.06285714285714286,0.25142857142857145
Chad Tracy,938,2988,2706,317,741,172,9,86,358,11,7,233,473,0.27399999999999997,0.33299999999999996,0.439,0.772,1189,53,19,3,27,28.0,0.2738359201773836,0.06356245380635625,0.0033259423503325942,0.031781226903178125,0.0028932140978432403,0.0861049519586105,0.17479674796747968
Josh Fields,217,796,713,95,167,25,3,34,107,3,4,69,235,0.23399999999999999,0.303,0.42100000000000004,0.7240000000000001,300,17,3,8,3,0.0,0.23422159887798036,0.03506311360448808,0.004207573632538569,0.047685834502103785,0.0007890583903208837,0.0967741935483871,0.32959326788218796
Rusty Ryal,134,290,266,30,70,13,3,6,20,0,3,14,88,0.263,0.318,0.402,0.721,107,3,8,1,1,1.0,0.2631578947368421,0.04887218045112782,0.011278195488721804,0.022556390977443608,0.0,0.05263157894736842,0.3308270676691729
Brad Eldred,90,299,276,31,56,12,1,15,34,1,1,17,109,0.203,0.258,0.41700000000000004,0.674,115,6,4,0,2,1.0,0.2028985507246377,0.043478260869565216,0.0036231884057971015,0.05434782608695652,0.0002630194634402946,0.06159420289855073,0.39492753623188404
Lastings Milledge,433,1659,1500,166,404,73,8,33,167,40,20,104,287,0.26899999999999996,0.32799999999999996,0.395,0.723,592,40,33,11,11,10.0,0.2693333333333333,0.048666666666666664,0.005333333333333333,0.022,0.010520778537611783,0.06933333333333333,0.19133333333333333
Randy Ruiz,68,238,217,41,59,11,0,12,25,2,1,16,67,0.272,0.332,0.488,0.82,106,7,4,0,1,1.0,0.271889400921659,0.05069124423963134,0.0,0.055299539170506916,0.0005260389268805891,0.07373271889400922,0.3087557603686636
John Bowker,240,622,574,54,133,25,5,17,73,2,3,39,136,0.23199999999999998,0.28300000000000003,0.382,0.664,219,11,4,0,5,4.0,0.23170731707317074,0.04355400696864112,0.008710801393728223,0.029616724738675958,0.0005260389268805891,0.06794425087108014,0.23693379790940766
Matt Clark,16,31,27,4,5,0,0,3,7,0,0,2,8,0.185,0.226,0.519,0.7440000000000001,14,1,0,0,2,2.0,0.18518518518518517,0.0,0.0,0.1111111111111111,0.0,0.07407407407407407,0.2962962962962963
Hector Luna,339,867,794,104,208,41,6,15,96,23,11,55,159,0.262,0.314,0.385,0.6990000000000001,306,14,8,3,7,1.0,0.2619647355163728,0.05163727959697733,0.007556675062972292,0.018891687657430732,0.006049447659126775,0.06926952141057935,0.20025188916876574
Brook Conrad,293,515,460,57,92,24,3,19,73,7,1,43,166,0.2,0.271,0.389,0.66,179,4,3,6,3,3.0,0.2,0.05217391304347826,0.006521739130434782,0.041304347826086954,0.001841136244082062,0.09347826086956522,0.36086956521739133
Kila Ka'aihue,126,465,411,45,91,19,1,15,46,1,1,49,95,0.221,0.305,0.382,0.687,157,14,1,2,2,2.0,0.22141119221411193,0.046228710462287104,0.0024330900243309003,0.0364963503649635,0.0002630194634402946,0.1192214111922141,0.23114355231143552
Fred Lewis,535,1763,1562,261,415,91,21,27,136,53,23,170,390,0.266,0.344,0.40299999999999997,0.747,629,23,21,3,7,10.0,0.26568501920614596,0.05825864276568502,0.013444302176696543,0.017285531370038413,0.013940031562335612,0.1088348271446863,0.2496798975672215
Nick Stavinoha,147,278,265,21,62,12,0,4,30,1,0,8,54,0.23399999999999999,0.256,0.325,0.581,86,9,1,1,3,1.0,0.2339622641509434,0.045283018867924525,0.0,0.01509433962264151,0.0002630194634402946,0.03018867924528302,0.2037735849056604
Nyjer Morgan,598,2206,1953,288,550,74,27,12,136,120,51,145,352,0.282,0.34299999999999997,0.366,0.708,714,21,43,52,13,3.0,0.2816180235535074,0.03789042498719918,0.013824884792626729,0.006144393241167435,0.03156233561283535,0.0742447516641065,0.18023553507424475
Jose Lopez,1036,4089,3841,421,1005,215,11,92,480,25,17,150,471,0.262,0.292,0.395,0.688,1518,113,31,33,34,13.0,0.26165061181983856,0.055975006508721684,0.002863837542306691,0.023952095808383235,0.006575486586007364,0.03905233012236397,0.12262431658422286
Alexis Gomez,89,170,158,20,41,6,2,1,11,4,0,10,33,0.259,0.308,0.342,0.649,54,2,1,1,0,0.0,0.25949367088607594,0.0379746835443038,0.012658227848101266,0.006329113924050633,0.0010520778537611783,0.06329113924050633,0.2088607594936709
Anderson Hernandez,240,703,643,69,155,25,5,4,60,10,6,55,107,0.24100000000000002,0.3,0.314,0.614,202,17,0,3,2,2.0,0.2410575427682737,0.038880248833592534,0.007776049766718507,0.006220839813374806,0.0026301946344029457,0.08553654743390357,0.16640746500777606
Mauro Gomez,37,111,102,14,28,5,2,2,17,0,0,8,26,0.275,0.324,0.42200000000000004,0.746,43,4,0,0,1,0.0,0.27450980392156865,0.049019607843137254,0.0196078431372549,0.0196078431372549,0.0,0.0784313725490196,0.2549019607843137
Jesus Guzman,403,1114,1007,108,249,61,4,25,136,18,5,97,248,0.247,0.316,0.39,0.706,393,18,5,2,3,6.0,0.24726911618669314,0.0605759682224429,0.003972194637537239,0.024826216484607744,0.004734350341925302,0.09632571996027806,0.24627606752730885
Nate Schierholtz,799,2275,2090,238,529,118,22,52,228,30,22,134,408,0.253,0.302,0.405,0.7070000000000001,847,27,23,3,25,16.0,0.25311004784688995,0.05645933014354067,0.010526315789473684,0.024880382775119617,0.007890583903208837,0.06411483253588517,0.19521531100478468
Alex Castellanos,24,43,41,5,7,1,1,2,4,0,0,0,13,0.171,0.18600000000000003,0.39,0.5760000000000001,16,0,1,0,1,0.0,0.17073170731707318,0.024390243902439025,0.024390243902439025,0.04878048780487805,0.0,0.0,0.3170731707317073
Juan Francsico,404,1091,996,110,235,50,4,48,152,2,6,81,375,0.23600000000000002,0.297,0.439,0.736,437,17,8,0,6,6.0,0.2359437751004016,0.050200803212851405,0.004016064257028112,0.04819277108433735,0.0005260389268805891,0.08132530120481928,0.37650602409638556
Dayan Viciedo,483,1798,1675,200,425,73,7,66,211,2,3,95,388,0.254,0.298,0.424,0.722,710,57,16,0,12,3.0,0.2537313432835821,0.04358208955223881,0.00417910447761194,0.03940298507462687,0.0005260389268805891,0.056716417910447764,0.2316417910447761
Matt Hague,43,91,84,6,19,3,0,0,7,1,0,5,19,0.226,0.28600000000000003,0.262,0.5479999999999999,22,2,2,0,0,1.0,0.2261904761904762,0.03571428571428571,0.0,0.0,0.0002630194634402946,0.05952380952380952,0.2261904761904762
Elian Herrera,223,639,586,69,148,35,2,8,55,11,4,44,160,0.253,0.306,0.36,0.6659999999999999,211,10,2,4,3,2.0,0.2525597269624573,0.059726962457337884,0.0034129692832764505,0.013651877133105802,0.0028932140978432403,0.07508532423208192,0.27303754266211605
Garrett Jones,911,3227,2924,347,734,178,12,122,400,28,10,265,680,0.251,0.312,0.445,0.757,1302,57,7,0,31,18.0,0.25102599179206564,0.06087551299589603,0.004103967168262654,0.041723666210670314,0.007364544976328248,0.09062927496580027,0.23255813953488372
Alex Guerrero,117,243,232,25,52,9,1,11,36,1,0,7,63,0.22399999999999998,0.251,0.414,0.665,96,7,2,0,2,0.0,0.22413793103448276,0.03879310344827586,0.004310344827586207,0.04741379310344827,0.0002630194634402946,0.03017241379310345,0.27155172413793105
Eric Campbell,200,517,449,54,100,18,0,7,44,9,3,54,117,0.223,0.312,0.31,0.622,139,18,7,1,6,2.0,0.22271714922049,0.0400890868596882,0.0,0.015590200445434299,0.002367175170962651,0.12026726057906459,0.26057906458797325
Jason Rogers,117,212,186,24,48,7,3,4,18,0,0,23,44,0.258,0.349,0.392,0.742,73,3,3,0,0,0.0,0.25806451612903225,0.03763440860215054,0.016129032258064516,0.021505376344086023,0.0,0.12365591397849462,0.23655913978494625
Carlos Rivero,4,8,7,1,4,2,0,1,3,0,0,1,0,0.5710000000000001,0.625,1.286,1.911,9,0,0,0,0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0
Casey McGehee,850,3086,2798,285,721,141,6,67,380,7,10,249,517,0.258,0.317,0.384,0.701,1075,115,8,0,31,14.0,0.2576840600428878,0.05039313795568263,0.002144388849177984,0.02394567548248749,0.001841136244082062,0.08899213724088635,0.1847748391708363
Zoilo Almonte,47,149,142,11,30,4,0,2,12,4,1,6,33,0.21100000000000002,0.242,0.282,0.523,40,3,0,0,1,0.0,0.2112676056338028,0.028169014084507043,0.0,0.014084507042253521,0.0010520778537611783,0.04225352112676056,0.2323943661971831
Steven Moya,51,133,124,12,31,4,3,5,11,0,1,8,50,0.25,0.293,0.452,0.745,56,0,0,0,1,0.0,0.25,0.03225806451612903,0.024193548387096774,0.04032258064516129,0.0,0.06451612903225806,0.4032258064516129
Efren Navarro,157,355,323,36,78,16,2,3,22,2,6,29,70,0.24100000000000002,0.304,0.331,0.635,107,7,0,3,0,4.0,0.24148606811145512,0.04953560371517028,0.006191950464396285,0.009287925696594427,0.0005260389268805891,0.08978328173374613,0.21671826625386997
Wilin Rosario,447,1601,1512,204,413,83,3,71,241,11,7,73,354,0.273,0.306,0.473,0.779,715,43,3,1,12,9.0,0.27314814814814814,0.05489417989417989,0.001984126984126984,0.046957671957671955,0.0028932140978432403,0.04828042328042328,0.23412698412698413
Jefry Marte,256,728,659,85,146,30,1,30,91,4,3,52,156,0.222,0.28800000000000003,0.40700000000000003,0.695,268,18,11,2,4,0.0,0.22154779969650987,0.04552352048558422,0.0015174506828528073,0.04552352048558422,0.0010520778537611783,0.07890743550834597,0.23672230652503792
Yangervis Solarte,670,2645,2407,282,620,124,6,75,307,6,5,189,326,0.258,0.315,0.408,0.723,981,78,23,7,19,8.0,0.2575820523473203,0.05151641046946406,0.0024927295388450354,0.03115911923556294,0.0015781167806417674,0.0785209804736186,0.1354383049439136
Christian Villanueva,122,416,383,47,94,16,0,24,53,3,0,23,114,0.245,0.303,0.475,0.778,182,12,9,0,1,0.0,0.2454308093994778,0.04177545691906005,0.0,0.06266318537859007,0.0007890583903208837,0.06005221932114883,0.29765013054830286
Moises Sierra,207,509,469,51,110,27,3,9,41,6,2,32,136,0.235,0.287,0.36200000000000004,0.649,170,6,4,0,4,1.0,0.2345415778251599,0.057569296375266525,0.006396588486140725,0.019189765458422176,0.0015781167806417674,0.06823027718550106,0.2899786780383795
Justin Bour,559,1950,1714,206,433,71,2,92,303,3,0,218,447,0.253,0.337,0.457,0.794,784,54,6,0,12,26.0,0.2526254375729288,0.041423570595099185,0.0011668611435239206,0.05367561260210035,0.0007890583903208837,0.12718786464410736,0.26079346557759625
Jerry Sands,156,464,420,36,100,22,1,10,57,3,3,38,126,0.23800000000000002,0.303,0.36700000000000005,0.67,154,10,2,2,2,0.0,0.23809523809523808,0.05238095238095238,0.002380952380952381,0.023809523809523808,0.0007890583903208837,0.09047619047619047,0.3
Jose Pirela,302,985,909,113,234,55,8,17,82,11,7,63,196,0.257,0.308,0.392,0.6990000000000001,356,24,5,3,5,1.0,0.25742574257425743,0.06050605060506051,0.0088008800880088,0.0187018701870187,0.0028932140978432403,0.06930693069306931,0.2156215621562156
Alcides Escobar,1494,5962,5545,646,1431,238,56,43,460,176,44,241,814,0.258,0.294,0.344,0.638,1910,112,55,87,34,17.0,0.2580703336339044,0.04292155094679892,0.010099188458070334,0.00775473399458972,0.046291425565491845,0.04346257889990983,0.14679891794409378
Gerardo Parra,1517,5288,4856,633,1334,269,42,90,532,97,55,318,920,0.275,0.322,0.40299999999999997,0.725,1957,113,40,35,39,49.0,0.27471169686985175,0.055395387149917624,0.008649093904448105,0.018533772652388796,0.025512887953708575,0.06548599670510709,0.18945634266886327
